red,green,blue
0.8984375,0.890625,0.83984375
0.90625,0.88671875,0.7890625
0.91015625,0.8828125,0.734375
0.91796875,0.87890625,0.68359375
0.921875,0.875,0.62890625
0.9296875,0.875,0.578125
0.93359375,0.87109375,0.5234375
0.94140625,0.8671875,0.47265625
0.9453125,0.86328125,0.41796875
0.953125,0.859375,0.3671875
0.95703125,0.85546875,0.3125
0.96484375,0.85546875,0.26171875
0.96875,0.8515625,0.20703125
0.9765625,0.84765625,0.15625
0.98046875,0.84375,0.1015625
0.98828125,0.83984375,0.05078125
0.99609375,0.83984375,0
0.99609375,0.8046875,0
0.99609375,0.76953125,0
0.99609375,0.73828125,0
0.99609375,0.703125,0
